manufacturer,model,displ,year,cyl,trans,drv,city,highway,fl,category,avg
toyota,4runner 4wd,4.0,2008,6,auto(l5),4,16,20,r,suv,18.0
toyota,4runner 4wd,4.7,2008,8,auto(l5),4,14,17,r,suv,15.5
toyota,camry,2.2,1999,4,manual(m5),f,21,29,r,midsize,25.0
toyota,camry,2.2,1999,4,auto(l4),f,21,27,r,midsize,24.0
toyota,camry,2.4,2008,4,manual(m5),f,21,31,r,midsize,26.0
toyota,camry,2.4,2008,4,auto(l5),f,21,31,r,midsize,26.0
toyota,camry,3.0,1999,6,auto(l4),f,18,26,r,midsize,22.0
toyota,camry,3.0,1999,6,manual(m5),f,18,26,r,midsize,22.0
toyota,camry,3.5,2008,6,auto(s6),f,19,28,r,midsize,23.5
toyota,camry solara,2.2,1999,4,auto(l4),f,21,27,r,compact,24.0
toyota,camry solara,2.2,1999,4,manual(m5),f,21,29,r,compact,25.0
toyota,camry solara,2.4,2008,4,manual(m5),f,21,31,r,compact,26.0
toyota,camry solara,2.4,2008,4,auto(s5),f,22,31,r,compact,26.5
toyota,camry solara,3.0,1999,6,auto(l4),f,18,26,r,compact,22.0
toyota,camry solara,3.0,1999,6,manual(m5),f,18,26,r,compact,22.0
toyota,camry solara,3.3,2008,6,auto(s5),f,18,27,r,compact,22.5
toyota,corolla,1.8,1999,4,auto(l3),f,24,30,r,compact,27.0
toyota,corolla,1.8,1999,4,auto(l4),f,24,33,r,compact,28.5
toyota,corolla,1.8,1999,4,manual(m5),f,26,35,r,compact,30.5
toyota,corolla,1.8,2008,4,manual(m5),f,28,37,r,compact,32.5
toyota,corolla,1.8,2008,4,auto(l4),f,26,35,r,compact,30.5
toyota,land cruiser wagon 4wd,4.7,1999,8,auto(l4),4,11,15,r,suv,13.0
toyota,land cruiser wagon 4wd,5.7,2008,8,auto(s6),4,13,18,r,suv,15.5
toyota,toyota tacoma 4wd,2.7,1999,4,manual(m5),4,15,20,r,pickup,17.5
toyota,toyota tacoma 4wd,2.7,1999,4,auto(l4),4,16,20,r,pickup,18.0
toyota,toyota tacoma 4wd,2.7,2008,4,manual(m5),4,17,22,r,pickup,19.5
toyota,toyota tacoma 4wd,3.4,1999,6,manual(m5),4,15,17,r,pickup,16.0
toyota,toyota tacoma 4wd,3.4,1999,6,auto(l4),4,15,19,r,pickup,17.0
toyota,toyota tacoma 4wd,4.0,2008,6,manual(m6),4,15,18,r,pickup,16.5
toyota,toyota tacoma 4wd,4.0,2008,6,auto(l5),4,16,20,r,pickup,18.0
volkswagen,gti,2.0,1999,4,manual(m5),f,21,29,r,compact,25.0
volkswagen,gti,2.0,1999,4,auto(l4),f,19,26,r,compact,22.5
volkswagen,gti,2.0,2008,4,manual(m6),f,21,29,p,compact,25.0
volkswagen,gti,2.0,2008,4,auto(s6),f,22,29,p,compact,25.5
volkswagen,gti,2.8,1999,6,manual(m5),f,17,24,r,compact,20.5
volkswagen,jetta,1.9,1999,4,manual(m5),f,33,44,d,compact,38.5
volkswagen,jetta,2.0,1999,4,manual(m5),f,21,29,r,compact,25.0
volkswagen,jetta,2.0,1999,4,auto(l4),f,19,26,r,compact,22.5
volkswagen,jetta,2.0,2008,4,auto(s6),f,22,29,p,compact,25.5
volkswagen,jetta,2.0,2008,4,manual(m6),f,21,29,p,compact,25.0
volkswagen,jetta,2.5,2008,5,auto(s6),f,21,29,r,compact,25.0
volkswagen,jetta,2.5,2008,5,manual(m5),f,21,29,r,compact,25.0
volkswagen,jetta,2.8,1999,6,auto(l4),f,16,23,r,compact,19.5
volkswagen,jetta,2.8,1999,6,manual(m5),f,17,24,r,compact,20.5
volkswagen,new beetle,1.9,1999,4,manual(m5),f,35,44,d,subcompact,39.5
volkswagen,new beetle,1.9,1999,4,auto(l4),f,29,41,d,subcompact,35.0
volkswagen,new beetle,2.0,1999,4,manual(m5),f,21,29,r,subcompact,25.0
volkswagen,new beetle,2.0,1999,4,auto(l4),f,19,26,r,subcompact,22.5
volkswagen,new beetle,2.5,2008,5,manual(m5),f,20,28,r,subcompact,24.0
volkswagen,new beetle,2.5,2008,5,auto(s6),f,20,29,r,subcompact,24.5
volkswagen,passat,1.8,1999,4,manual(m5),f,21,29,p,midsize,25.0
volkswagen,passat,1.8,1999,4,auto(l5),f,18,29,p,midsize,23.5
volkswagen,passat,2.0,2008,4,auto(s6),f,19,28,p,midsize,23.5
volkswagen,passat,2.0,2008,4,manual(m6),f,21,29,p,midsize,25.0
volkswagen,passat,2.8,1999,6,auto(l5),f,16,26,p,midsize,21.0
volkswagen,passat,2.8,1999,6,manual(m5),f,18,26,p,midsize,22.0
volkswagen,passat,3.6,2008,6,auto(s6),f,17,26,p,midsize,21.5
